rank_by_test_auc,rank_run_order,n_estimators,max_depth,min_samples_leaf,train_roc_auc,test_roc_auc,auc_gap_train_minus_test,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_f1,test_f1,test_precision,test_recall,overfit_flag_auc_gap_gt_0_10
55,88,1000,3,10,0.9719887955182073,0.9435064935064934,0.028482302011713867,0.9115281501340483,0.8152173913043478,0.9175729115175482,0.8318181818181818,0.940754039497307,0.8682170542635659,0.9491525423728814,0.8,False
56,82,1000,2,3,0.9709589718240237,0.942857142857143,0.028101828966880738,0.9115281501340483,0.8369565217391305,0.9049060800790905,0.8461038961038961,0.9413854351687388,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
57,15,50,5,5,0.97845608831768,0.9428571428571428,0.03559894546053721,0.9168900804289544,0.8586956521739131,0.9252553962761575,0.8603896103896104,0.9443447037701975,0.9022556390977443,0.9523809523809523,0.8571428571428571,False
58,30,100,4,3,0.9765612127203823,0.9428571428571428,0.03370406986323948,0.9142091152815014,0.8586956521739131,0.915080738177624,0.8603896103896104,0.9428571428571428,0.9022556390977443,0.9523809523809523,0.8571428571428571,False
59,32,100,4,10,0.9727302685780194,0.9428571428571428,0.029873125720876526,0.8954423592493298,0.8478260869565217,0.8987477343878728,0.8532467532467533,0.9297297297297298,0.8939393939393939,0.9516129032258065,0.8428571428571429,False
60,56,300,5,10,0.9744191794364805,0.9428571428571428,0.03156203657933765,0.9142091152815014,0.8369565217391305,0.9193030153237766,0.8461038961038961,0.942652329749104,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
61,87,1000,3,5,0.9732657768989948,0.9428571428571428,0.030408634041852012,0.9088471849865952,0.8260869565217391,0.9116205305651672,0.8389610389610389,0.9390681003584229,0.8769230769230769,0.95,0.8142857142857143,False
62,38,100,None,3,0.993985829625968,0.9422077922077923,0.05177803741817577,0.9517426273458445,0.8804347826086957,0.9646358543417367,0.8746753246753247,0.9679715302491103,0.9185185185185185,0.9538461538461539,0.8857142857142857,False
63,25,100,3,1,0.9744191794364804,0.9415584415584416,0.03286073787803878,0.9222520107238605,0.8478260869565217,0.9202710495963091,0.8532467532467533,0.9484902309058615,0.8939393939393939,0.9516129032258065,0.8428571428571429,False
64,24,100,2,10,0.9649448014499917,0.9415584415584416,0.023386359891550135,0.900804289544236,0.8369565217391305,0.897985664854177,0.8461038961038961,0.9338103756708408,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
65,64,500,2,10,0.9672927994727303,0.9415584415584416,0.025734357914288686,0.903485254691689,0.8369565217391305,0.8954934915142527,0.8461038961038961,0.9359430604982206,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
66,66,500,3,3,0.9726066897347174,0.9415584415584416,0.031048248176275828,0.9115281501340483,0.8260869565217391,0.9133506343713955,0.8389610389610389,0.9409660107334525,0.8769230769230769,0.95,0.8142857142857143,False
67,4,50,2,10,0.9599604547701432,0.9415584415584415,0.018402013211701762,0.8873994638069705,0.8369565217391305,0.8808905915307299,0.8616883116883116,0.9247311827956989,0.8837209302325582,0.9661016949152542,0.8142857142857143,False
68,35,100,5,5,0.9811748228703246,0.9415584415584415,0.039616381311883164,0.9302949061662198,0.8586956521739131,0.9339059153072994,0.8603896103896104,0.9537366548042705,0.9022556390977443,0.9523809523809523,0.8571428571428571,False
69,13,50,5,1,0.9843054869006426,0.9415584415584415,0.042747045342201084,0.9249329758713136,0.8478260869565217,0.92622343054869,0.8532467532467533,0.9501779359430605,0.8939393939393939,0.9516129032258065,0.8428571428571429,False
70,81,1000,2,1,0.9710825506673257,0.9415584415584415,0.029524109108884256,0.9142091152815014,0.8369565217391305,0.9066361838853189,0.8461038961038961,0.9432624113475178,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
71,46,300,3,3,0.9729774262646236,0.9415584415584415,0.031418984706182096,0.9061662198391421,0.8260869565217391,0.9014458724666337,0.8389610389610389,0.9376114081996435,0.8769230769230769,0.95,0.8142857142857143,False
72,62,500,2,3,0.9687345526445873,0.940909090909091,0.02782546173549627,0.9061662198391421,0.8369565217391305,0.9014458724666337,0.8461038961038961,0.9376114081996435,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
73,63,500,2,5,0.9686109738012852,0.940909090909091,0.02770188289219422,0.9088471849865952,0.8369565217391305,0.9073982534190146,0.8461038961038961,0.9392857142857143,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
74,28,100,3,10,0.9701763058164441,0.9409090909090909,0.02926721490735318,0.903485254691689,0.8478260869565217,0.9081603229527104,0.8532467532467533,0.935251798561151,0.8939393939393939,0.9516129032258065,0.8428571428571429,False
75,83,1000,2,5,0.9702586917119789,0.9409090909090909,0.029349600802887954,0.9088471849865952,0.8369565217391305,0.9031759762728622,0.8461038961038961,0.9395017793594306,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
76,84,1000,2,10,0.9692288680177954,0.9409090909090909,0.02831977710870448,0.903485254691689,0.8369565217391305,0.8954934915142527,0.8461038961038961,0.9359430604982206,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
77,39,100,None,5,0.9866122919756137,0.9409090909090909,0.045703201066522814,0.935656836461126,0.8260869565217391,0.9458106772120614,0.8389610389610389,0.9571428571428572,0.8769230769230769,0.95,0.8142857142857143,False
78,44,300,2,10,0.9669632558905916,0.9409090909090909,0.026054164981500705,0.8981233243967829,0.8260869565217391,0.8920332839017959,0.8389610389610389,0.9321428571428572,0.8769230769230769,0.95,0.8142857142857143,False
79,67,500,3,5,0.9716180589883012,0.9409090909090909,0.030708968079210308,0.9088471849865952,0.8260869565217391,0.9073982534190146,0.8389610389610389,0.9392857142857143,0.8769230769230769,0.95,0.8142857142857143,False
80,23,100,2,5,0.9669632558905915,0.9402597402597404,0.02670351563085116,0.900804289544236,0.8369565217391305,0.8937633877080244,0.8461038961038961,0.9340463458110517,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
81,5,50,3,1,0.9704646564508155,0.9402597402597402,0.030204916191075237,0.9142091152815014,0.8369565217391305,0.915080738177624,0.8461038961038961,0.9428571428571428,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
82,8,50,3,10,0.9666749052562201,0.9402597402597402,0.02641516499647989,0.8981233243967829,0.8369565217391305,0.9131446696325589,0.8461038961038961,0.9309090909090909,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
83,21,100,2,1,0.9658922392486406,0.9402597402597402,0.02563249898890041,0.903485254691689,0.8369565217391305,0.8954934915142527,0.8461038961038961,0.9359430604982206,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
84,34,100,5,3,0.9810100510792552,0.9402597402597402,0.04075031081951497,0.9302949061662198,0.8369565217391305,0.9381281924534519,0.8461038961038961,0.9535714285714286,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
85,41,300,2,1,0.969064096226726,0.9402597402597402,0.028804355966985717,0.9115281501340483,0.8260869565217391,0.9049060800790905,0.8389610389610389,0.9413854351687388,0.8769230769230769,0.95,0.8142857142857143,False
86,42,300,2,3,0.9688993244356566,0.9402597402597402,0.02863958417591639,0.900804289544236,0.8260869565217391,0.897985664854177,0.8389610389610389,0.9338103756708408,0.8769230769230769,0.95,0.8142857142857143,False
87,47,300,3,5,0.9718240237271379,0.9402597402597402,0.0315642834673977,0.9061662198391421,0.8260869565217391,0.9056681496127863,0.8389610389610389,0.9373881932021467,0.8769230769230769,0.95,0.8142857142857143,False
88,1,50,2,1,0.9584363157027516,0.9396103896103897,0.01882592609236189,0.8873994638069705,0.8478260869565217,0.8808905915307299,0.8688311688311688,0.9247311827956989,0.8923076923076924,0.9666666666666667,0.8285714285714286,False
89,61,500,2,1,0.9693524468610973,0.9396103896103897,0.029742057250707665,0.9088471849865952,0.8369565217391305,0.9073982534190146,0.8461038961038961,0.9392857142857143,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
90,6,50,3,3,0.9682402372713791,0.9396103896103897,0.028629847660989416,0.9115281501340483,0.8260869565217391,0.9175729115175482,0.8389610389610389,0.940754039497307,0.8769230769230769,0.95,0.8142857142857143,False
91,16,50,5,10,0.9730186192123909,0.9396103896103896,0.033408229602001294,0.9115281501340483,0.8369565217391305,0.9217951886637008,0.8461038961038961,0.9405405405405406,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
92,43,300,2,5,0.9688581314878892,0.9396103896103896,0.029247741877499678,0.9061662198391421,0.8260869565217391,0.9014458724666337,0.8389610389610389,0.9376114081996435,0.8769230769230769,0.95,0.8142857142857143,False
93,3,50,2,5,0.9610726643598616,0.9383116883116883,0.022760976048173287,0.8927613941018767,0.8369565217391305,0.8885730762893392,0.8616883116883116,0.9283154121863799,0.8837209302325582,0.9661016949152542,0.8142857142857143,False
94,26,100,3,3,0.9734717416378316,0.9383116883116883,0.03516005332614325,0.9088471849865952,0.8478260869565217,0.9073982534190146,0.8532467532467533,0.9392857142857143,0.8939393939393939,0.9516129032258065,0.8428571428571429,False
95,36,100,5,10,0.9750370736529906,0.9383116883116883,0.03672538534130232,0.9088471849865952,0.8478260869565217,0.9158428077113199,0.8532467532467533,0.9388489208633094,0.8939393939393939,0.9516129032258065,0.8428571428571429,False
96,22,100,2,3,0.9651919591365958,0.9383116883116883,0.026880270824907515,0.900804289544236,0.8369565217391305,0.8937633877080244,0.8461038961038961,0.9340463458110517,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
97,27,100,3,5,0.9724007249958807,0.9383116883116883,0.034089036684192386,0.9088471849865952,0.8369565217391305,0.9073982534190146,0.8461038961038961,0.9392857142857143,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
98,2,50,2,3,0.9578596144340089,0.9376623376623378,0.020197276771671158,0.8873994638069705,0.8369565217391305,0.8808905915307299,0.8616883116883116,0.9247311827956989,0.8837209302325582,0.9661016949152542,0.8142857142857143,False
99,19,50,None,5,0.9818751029823694,0.9363636363636363,0.045511466618733065,0.9302949061662198,0.8260869565217391,0.9423504695996046,0.8389610389610389,0.953405017921147,0.8769230769230769,0.95,0.8142857142857143,False
100,7,50,3,5,0.9676223430548689,0.9357142857142857,0.03190805734058322,0.9142091152815014,0.8369565217391305,0.9235252924699291,0.8461038961038961,0.9424460431654677,0.8854961832061069,0.9508196721311475,0.8285714285714286,False
